Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
7098.000983448106,6349.70587459148,8890.118357169926,393.02148370367377,-3941.959711595466,-5182.785298421837,-4.142623303277023,-6.668865852932488,-15.793771890626985,-8.0,-82.85911443373,-82.86634916197696,-0.007234728246956479,142.60722011453907,142.90855940025332,0.30133928571424917,0.07782309704895923
6870.254557881829,3257.379695109943,7060.550237403086,1964.3221723602192,2698.2929890731366,-1633.3157675773246,10.277101115511638,15.79173149162687,18.309786447267754,-4.0,53.73348361407679,53.72354395610827,-0.009939657968516258,116.07589296862525,121.571747560462,5.495854591836746,0.07742136897597186
3492.0636115248994,3898.654846132313,712.3443801836138,-449.8031795943557,-1380.2917197935158,4659.200099058596,17.868014102459504,-3.4287437782077888,-6.301135673299537,-3.0,-118.78183044233946,-119.00771235478318,-0.22588191244372524,17.306205262374647,18.023679752170572,0.7174744897959258,0.14850524495507264
1167.275993456014,6224.827087769237,1085.8725951748581,8806.694926533226,2621.417287168023,1289.3555634233792,7.943309588339016,1.6789148505183675,16.525432414049874,15.0,16.68917519000147,16.691266179398493,0.002090989397022014,82.01230854882185,86.90907194167897,4.896763392857125,0.013695373661453965
8563.61012758738,1577.783786631173,3793.066748539324,-7286.68578937781,6683.418307357337,-485.8355197900496,-8.999628382430691,-8.305534380851034,8.723901110786095,12.0,135.33173655146908,135.31956561649352,-0.012170934975557657,92.81302476313378,96.96720205905216,4.154177295918373,0.03491942439032557
9971.522687719187,270.94555325617887,7999.728218046546,-5742.312131158618,3948.0689122877357,-5736.8647385606455,-16.34985457616454,19.675608400772106,-1.8351672241416708,11.0,147.15337457178686,147.16098952649736,0.007614954710504662,129.46274340671945,133.7245418761072,4.261798469387742,0.06919696015191731
4970.6926064399095,3569.7361785802727,1961.153472416416,-1384.6665929635028,-399.2102574560986,-608.1429807575312,0.2107321032295708,-11.061621395768665,-18.3934025828302,35.0,-165.80065196406636,-165.86002319811197,-0.05937123404561362,112.88019190247456,110.55557455553578,-2.32461734693878,0.1266676767971757
6721.549703876219,5394.750014372086,9405.29807666544,-3582.703884595067,275.63696829139826,-8328.157127539873,-14.935321344686079,8.842743229749289,-16.423292746992793,38.0,179.06590396691945,179.0133719633946,-0.05253200352484555,156.66159115419043,158.74226717459857,2.0806760204081343,0.06104731248592623
6987.213760714508,1096.0500293981934,6554.848020112638,504.2434092658059,7952.790140380133,-2683.4267506572446,-3.8567538191137594,17.191301864152507,-4.206272354110482,29.0,85.47424256977956,85.40020520106988,-0.07403736870968203,108.61060944634905,110.76303291573679,2.1524234693877418,0.15471499457581883
5910.964422752749,1871.563140877377,3828.9658896258484,2897.681710583104,4235.692714841376,1111.082976503612,7.84667285028954,10.637150854497548,11.354324212762261,-16.0,55.71274540430041,55.71628218551969,0.0035367812192816928,77.78399698179886,80.81173932873763,3.0277423469387656,0.06123625065335132
